ID,boxes,classes
7119d8ae-329e-4cf4-bfac-389ae146ec96,,
a41f6e40-d536-46d9-8d24-4948704d5972,162.0;228.0;322.0;613.0|618.0;182.0;251.0;299.0,1|1
15cdf6d4-2978-4b2c-8b9a-0f3213370294,,
60a7d705-e930-433b-b08e-3a41809af118,,
0918aae8-b873-4510-b975-c6e87df90f58,461.0;185.0;329.0;751.0|127.0;452.0;288.0;529.0,1|1
5e764528-946f-49df-85d5-6d0ae98a3223,,
8e25f085-5dfd-45ad-84c6-be1c2296189a,,
a9ef6dd9-5784-49b6-afa3-61395acbbd17,,
17bd6f06-c2f5-4640-bfa3-b3777a6a1a0a,,
8b182c85-6bcf-4e38-9c6a-839d5d4dd9a9,,
2dcdd159-2889-48d3-a0ce-5c7b1086c49d,,
d07c7766-b464-4176-8a16-8b46b267f0a9,,
82511162-d2f1-4299-bb37-96355996db3f,,
d82b903c-b2e5-454f-aaa3-2d7253858348,,
b06a0fe5-dd0c-448e-bbbd-b773b17e5537,575.0;231.0;216.0;395.0|253.0;193.0;220.0;424.0,1|1
fef7b294-017c-4491-9e57-119086855785,121.0;612.0;181.0;165.0,1
73f6d76b-c5a2-4493-b39a-7ab830178f72,,
e5f292ae-f1e5-497c-b0a0-68f1aa2196b2,,
bd7e6f9f-2933-496e-b180-4799292c6afc,305.0;272.0;167.0;184.0,1
499dc53c-c75e-4875-88ed-4d902353b000,,
5fef0c10-048f-430c-a4c6-4a38fbc4be6a,,
8b0c0155-5275-490c-9863-0ff9168dce7a,,
97d6840c-f844-4a1d-ab3e-85f642834696,549.0;365.0;273.0;396.0|62.0;516.0;308.0;256.0,1|1
35006f15-46a9-48d2-853a-0eeacbbbb4c6,,
873e1556-1944-42e3-9267-c3bad3387973,,
9fe35f18-856c-44b2-8b27-addaa68db796,,
a748125f-da50-4ada-9517-0f60e67e2c48,,
e3434fda-b288-40cd-93cf-1a1e96f84973,,
76554e2a-f033-436b-82ff-ff3e223e5feb,,
e69f1dc2-812e-4ef4-8d6b-7b6c8bdb7b89,,
d27802c9-4a7b-4680-b5ff-65a77c9a67d8,,
feab4fe2-17bd-40b1-99c3-a6efbadb3589,,
571696f9-0180-44de-8c82-27f29e487310,,
4d59ea0c-8e47-49c3-a45d-60979e66bdf8,,
550ff809-b457-4d2f-bd8a-1e18ae11f898,,
47f08678-452a-458c-9933-ccd0f1126f20,132.0;459.0;268.0;202.0,1
f269feaa-02aa-4383-979d-6569b2d45801,,
ded57620-eb2d-403c-a908-f5499ba188d3,,
baab6817-52a7-47dc-a5e8-31d8d21c12d3,,
5f791b1a-d6c4-422c-bac1-c8f3c9049e08,,
fed14c6f-8c53-43dc-9c1b-fde62ddef146,,
7468319a-de5b-4b80-87f4-5cb21ab84429,,
8103ed5c-d55f-4f35-9ddc-83e71ec76ab4,,
b877bb8d-e274-483d-9586-397dc8897d45,,
2feb2bad-6b36-4067-87f1-54d39235e3c5,247.0;503.0;163.0;155.0,1
44935d17-068f-458b-979c-a032fd6d7c9e,,
f15f16b1-468c-41ef-8b49-4f2707300bee,,
0cb05380-5ae8-46de-8585-41b5323d7c65,228.0;196.0;249.0;465.0|574.0;196.0;292.0;550.0,1|1
388718ee-17f8-446c-9e25-688100629227,,
bb3857ed-9f85-4afc-96ee-c8b6b637490c,94.0;369.0;244.0;237.0|568.0;202.0;302.0;490.0,1|1
43572dbd-37c4-4b36-917e-eb36b84f1344,,
597f9744-d4f2-42b3-9b45-183067897f3b,,
f6581bd5-a2f7-4c37-ba2b-6208f905ea78,,
98587034-db53-4cc8-893e-1c2a79088ab1,,
6bf26f0a-245a-43f3-b9df-c6cb07c4dce8,,
ab9e97a4-c2a0-4ba9-a267-60205ef053f2,,
53f0316b-563c-441b-a226-a369a0357dfe,,
5d44d6fa-b592-4cb8-acb6-bb19ea73e10e,,
2139214a-4a50-4144-9c2d-eb4c929e1e7e,356.0;257.0;212.0;426.0|741.0;255.0;257.0;479.0,1|1
a5ba75bd-c961-4096-b9fd-6253788cfffd,109.0;639.0;204.0;235.0,1
62cf5590-89da-4c01-ad00-b716886442c8,,
befd3b4c-d0a6-48fd-87ee-db4340ba4abb,,
52e31798-2000-4b3c-b39e-45eb227393f7,,
989149b3-7b38-4ffe-b996-244dbeaafe4d,,
e34aad2d-31a9-42a8-8ce1-99022d6e996d,,
72fbc26e-3b3e-4a16-b10b-b84bd09790ff,,
b5c2a839-4abe-4dd6-91af-f91948e4c470,,
c765f791-8866-462d-80bf-b2434377b929,,
e4c80aa1-92bb-4035-b76b-6c2c4a1ebcf4,,
ec7a395a-d44e-4d66-802d-d65cd645ed4c,,
a9e29985-9248-4862-ac52-bf81eb514e45,,
c52238be-8bf4-42d2-98d1-361fe0447b14,,
590aa5c7-9274-417c-9cc3-c33e69b19015,,
31d44ab9-38a2-4d02-874e-3dba85d6e845,,
b544bbb2-35d1-44a9-88a6-431aa0fe72ad,604.0;474.0;263.0;236.0|232.0;445.0;220.0;207.0,1|1
f1529458-c096-4c01-b835-629821640164,,
0b8ba576-7734-4192-ba1b-5618dd257f6b,,
6d7eeaa9-f060-4fc2-ae1d-f4dd1476fee9,,
db636411-60a9-48b4-aa4c-a18e3a2445ee,,
a3ee0b04-42c7-415e-a258-f1642818e5b7,,
d9326771-d513-4db3-9817-776ed5a4940f,,
71f7c138-25f7-4d7b-b2ca-47c48a9b0380,,
37280a31-74fe-474a-879e-d349dd211e18,279.0;502.0;194.0;298.0|577.0;496.0;199.0;272.0,1|1
4b55414e-8045-42ef-a7a9-c0b68aa5acdd,,
ab39973c-ae43-4ded-8c33-678bb4f28988,174.0;517.0;237.0;299.0|619.0;447.0;188.0;485.0,1|1
cf80eb36-1fd9-4c22-aea8-f257518f9a36,,
a6545c44-fd70-4bf4-8099-68f614b732e9,,
0e34898c-b271-4f9e-910a-0b13e5771a64,,
fca2caa9-24ec-48a1-9cea-83456dd8fbcd,,
be16ff6b-cb15-424f-91ed-ff6612110961,,
a6764ebc-8c1d-4803-a4b7-06c1310fae8d,,
e4958b23-b9ef-45ad-afcb-888b4e4eb5eb,,
81edd0f8-9240-41c6-a9c4-ad84ca021fdc,,
73a0777c-caaf-405f-80ab-342715b384c9,511.0;269.0;194.0;347.0|127.0;253.0;154.0;356.0,1|1
8e3c125f-644a-480b-98c4-220a3eb10ccd,,
8d806e05-11c5-4591-bb87-53edc3177c27,,
4b9d409a-77c1-42a8-8594-3a20a875f28e,,
ee2d5ba6-4090-4676-8e36-94dc3468b8ad,99.0;421.0;131.0;94.0,1
cb4a1fca-136c-4577-bcef-d934c9f14f2c,742.0;196.0;271.0;518.0|373.0;162.0;285.0;549.0,1|1
0b1d5b23-c3ab-41b5-b82d-a16a3d6b5674,607.0;131.0;187.0;297.0,1
f5808231-bcfc-4205-95cd-9ba5ed5bed03,,
90132556-239d-4f8e-9263-603596046506,,
856db494-ff64-4ead-a9c3-b4ac4d7256b5,192.0;577.0;272.0;235.0|610.0;532.0;217.0;307.0,1|1
e4b00406-3cbc-4b70-afaf-9d3d312038bb,,
cb30c3d6-cb5c-4d23-ad41-0340c50b30f5,,
cf2c825f-a9a5-48b0-a9df-3b79b95a673a,,
3a991b9c-0848-4627-8a56-a900cbdea40e,,
5a2efed9-8132-4de5-bf6f-c73c7d014530,,
cddfd411-69a5-4a5e-8fee-0e29e28836f2,,
cb8eb60c-ebe6-4d95-b740-61a7b2606af0,583.0;497.0;217.0;245.0,1
0e0df6e1-1a66-4122-a14b-7a4cd106421f,144.0;550.0;198.0;70.0,1
eec8e710-926d-4a7e-9500-51ab5722a3a4,,
94305323-9811-4d8c-969a-7432981a7cea,,
f4cc8d1d-d7ba-4170-9e6c-69621b3e2869,,
c79c91fa-f96d-45c8-bc10-44770c7b8371,,
46bc642f-c3ee-49e0-8004-767970218efe,,
56130832-8cb2-4c91-a98e-a40b1f1d1dd2,,
443a9c62-1b0b-40fb-bdbc-8913449b3980,,
b1066280-4520-4377-ac12-b466c84828ed,,
e2b29326-8ee1-4b6e-9ab2-a2bfe2e7a3fd,,
00f08de1-517e-4652-a04f-d1dc9ee48593,181.0;184.0;206.0;506.0|571.0;275.0;230.0;476.0,1|1
562f0975-f055-40de-bc90-c12028776c0b,,
fcf2398a-3fa9-4837-9128-2c60462b9acd,,
